country;year;cluster_id;urban_rural;lat;lon;iwi;month
Madagascar;2013;344;R;-20.428923;48.361929;-1.847792299025772;1
Madagascar;2013;345;R;-20.558567;48.21504;-2.024246505793632;1
Madagascar;2013;346;U;-21.239234;48.313839;-1.5160059174793123;1
Madagascar;2013;347;R;-21.394703;48.019961;-1.3129014405096215;1
Madagascar;2013;348;R;-20.864168;47.901362;-2.491334682904076;1
Madagascar;2013;349;U;-22.189423;47.983852;-0.9981554353194808;1
Madagascar;2013;350;R;-21.81063;47.826011;-0.5577044117472097;1
Madagascar;2013;351;R;-21.745662;48.046219;-0.8424046883434717;1
Madagascar;2013;352;R;-21.878395;47.450932;-0.5694814807622632;1
Madagascar;2013;353;R;-22.156962;47.375384;-2.3936832609635363;1
Madagascar;2013;354;R;-22.445429;47.736628;-1.946422420724357;1
Madagascar;2013;355;U;-22.393873;46.129511;1.0515933389047456;1
Madagascar;2013;356;R;-22.515479;45.166925;-2.8436784619153688;1
Madagascar;2013;357;R;-22.876411;47.726041;-0.8693787079933128;1
Madagascar;2013;358;R;-22.851781;47.545896;-2.1000840226672586;1
Madagascar;2013;359;U;-23.336684;47.59908;-0.5451523901977318;1
Madagascar;2013;360;R;-23.413401;47.599876;-2.1637392344255333;1
Madagascar;2013;361;R;-23.55284;47.564996;-1.7186488676512344;1
Madagascar;2013;362;R;-23.911065;47.146685;-2.5188844405632547;1
Madagascar;2013;363;U;-22.840058;47.349323;-2.3725085242514043;1
Madagascar;2013;364;R;-22.536229;47.510478;-2.185342328786996;1
Madagascar;2013;365;U;-18.167541;49.394547;1.4964785512831438;1
Madagascar;2013;366;U;-18.160857;49.376987;0.3460862841231122;1
Madagascar;2013;367;U;-18.15213;49.389829;0.4797378019483241;1
Madagascar;2013;368;U;-18.178782;49.394556;0.1255993497591426;1
Madagascar;2013;369;U;-18.155119;49.393042;0.8547133373039001;1
Madagascar;2013;370;U;-18.129125;49.39699;0.8499214356522343;1
Madagascar;2013;371;U;-18.137492;49.38825;1.203582896360592;1
Madagascar;2013;372;U;-18.143727;49.404567;1.926187161841625;1
Madagascar;2013;373;R;-18.899808;49.009592;-1.4195915959289982;1
Madagascar;2013;374;R;-18.604323;48.659976;-2.01040280280168;1
Madagascar;2013;375;R;-19.68655;48.818495;-1.3021583031525026;1
Madagascar;2013;376;R;-20.25725;48.635428;-2.0332064509308907;1
Madagascar;2013;377;R;-19.829436;48.301136;-1.7554672039195582;1
Madagascar;2013;378;R;-17.903461;49.416422;-1.376545760487028;1
Madagascar;2013;379;R;-17.756529;49.169104;-1.1051222781517742;1
Madagascar;2013;380;U;-16.902175;49.878365;0.1090198818653303;1
Madagascar;2013;381;U;-15.43327;49.734964;0.2812423081379443;1
Madagascar;2013;382;R;-15.290077;49.746395;-1.507318930448298;1
Madagascar;2013;383;R;-15.689183;49.634039;-0.6142684998021157;1
Madagascar;2013;384;R;-16.321535;49.58374;-1.0567868152553015;1
Madagascar;2013;385;U;-17.380344;49.399038;1.0546093235368028;1
Madagascar;2013;386;R;-17.579936;49.385821;-1.135833534091676;1
Madagascar;2013;387;R;-17.123119;49.395356;-0.9965720916217928;1
Madagascar;2013;388;R;-17.406731;49.306152;0.6656107403431609;1
Madagascar;2013;389;R;-16.840566;49.630464;-0.8459720717087899;1
Madagascar;2013;390;R;-17.509174;48.313234;0.0377204769758422;1
Madagascar;2013;391;R;-17.75163;48.21826;-0.7501626985518968;1
Madagascar;2013;392;R;-17.247047;48.545312;-1.5376250318442344;1
Madagascar;2013;393;U;-17.818442;48.415593;0.6638273682596876;1
Madagascar;2013;394;U;-17.832952;48.418192;1.5874584897163635;1
Madagascar;2013;395;R;-17.555365;48.514744;-0.9640674990251225;1
Madagascar;2013;396;R;-18.088214;48.38042;-2.3879319383265023;1
Madagascar;2013;397;U;-18.95186;48.206223;0.7347273921846995;1
Madagascar;2013;398;U;-18.955614;48.229394;-0.5275468864850029;1
Madagascar;2013;399;R;-18.756821;48.346906;-1.5742443547093086;1
Madagascar;2013;400;R;-19.222847;47.971834;-2.26575542375938;1
Madagascar;2013;401;R;-17.041022;48.543119;-0.2882542250228707;1
Madagascar;2013;402;R;-19.355151;48.230374;-1.944957536120196;1
Madagascar;2013;403;U;-15.696581;46.3245;1.33515554959765;1
Madagascar;2013;404;U;-15.726047;46.312702;1.7224289452275536;1
Madagascar;2013;405;U;-15.72297;46.314835;2.4233804627163047;1
Madagascar;2013;406;U;-15.711973;46.310309;1.235283817660168;1
Madagascar;2013;407;U;-15.707928;46.341553;1.5272332192552318;1
Madagascar;2013;408;U;-15.712159;46.340242;1.2482027109898248;1
Madagascar;2013;409;U;-15.719457;46.344688;0.7517708260196261;1
Madagascar;2013;410;R;-16.458185;46.752928;-2.2240974807400744;1
Madagascar;2013;411;U;-16.100092;46.681529;-0.6716780723252611;1
Madagascar;2013;412;R;-15.96947;46.947102;-2.195709204728705;1
Madagascar;2013;413;R;-15.992475;46.09981;-2.196842435087012;1
Madagascar;2013;414;U;-15.578036;47.621276;1.0572816367493325;1
Madagascar;2013;415;R;-15.51215;47.459959;-2.7169754063273115;1
Madagascar;2013;416;R;-15.470576;47.61551;-1.4847830620918667;1
Madagascar;2013;417;U;-15.853103;48.827532;1.0849450449552571;1
Madagascar;2013;418;R;-15.585127;48.948127;-2.579529771464644;1
Madagascar;2013;419;R;-14.27476;47.853081;-1.1582844416358238;1
Madagascar;2013;420;R;-15.291783;47.093449;-2.22769441806322;1
