JobID|JobName|Start|End|State|ElapsedRaw|AllocCPUS|ConsumedEnergyRaw
916502|Madagascar_Seasonal_Canonical-INF|2026-08-13T16:54:53|2026-08-13T16:58:07|COMPLETED|194|20|59923
916521|nofreeze|2026-08-13T16:56:53|2026-08-13T16:57:05|COMPLETED|12|20|4888
916829|nofreeze|2026-08-13T17:09:53|2026-08-13T17:10:05|COMPLETED|12|20|4594
917726|build_cnn_seasonal_report|2026-08-13T17:21:37|2026-08-13T17:21:49|COMPLETED|12|20|3011
919214|crossval_africa|2026-08-13T17:53:56|2026-08-13T17:54:22|COMPLETED|26|80|5315
919745|crossval_africa|2026-08-13T17:59:56|2026-08-13T18:00:25|COMPLETED|29|80|5774
920221|Africa_Composite_Canonical_CV-0|2026-08-13T18:03:19|2026-08-13T18:04:32|COMPLETED|73|20|16952
920272|Madagascar_Composite_Canonical_CV-0|2026-08-13T18:05:39|2026-08-13T18:19:22|CANCELLED by 304540|823|20|252981
921561|Africa_Seasonal_Canonical_CV-0|2026-08-13T18:18:30|2026-08-13T18:20:00|COMPLETED|90|20|19825
921888|Madagascar_Composite_Canonical_CV-0|2026-08-13T18:21:40|2026-08-13T18:25:40|COMPLETED|240|20|73322
922583|create_shards|2026-08-13T18:26:11|2026-08-13T18:26:17|COMPLETED|6|20|1852
923242|create_shards|2026-08-13T18:32:01|2026-08-13T18:32:09|COMPLETED|8|20|2163
923372|create_shards|2026-08-13T18:34:01|2026-08-13T18:34:09|COMPLETED|8|20|2587
923417|create_shards|2026-08-13T18:35:20|2026-08-13T18:35:24|COMPLETED|4|20|1326
949681|Madagascar_Composite_Canonical_CV-0|2026-08-14T09:15:38|2026-08-14T09:38:34|COMPLETED|1376|20|363279
950250|crossval_africa|2026-08-14T09:23:44|2026-08-14T09:24:10|COMPLETED|26|80|5262
950432|crossval_africa|2026-08-14T09:27:29|2026-08-14T09:37:36|COMPLETED|607|80|231711
951527|crossval_africa|2026-08-14T09:42:14|2026-08-14T10:03:22|COMPLETED|1268|80|486009
951835|build_cnn_composite_report|2026-08-14T09:45:38|2026-08-14T09:45:53|COMPLETED|15|20|2643
953644|Madagascar_Composite_Pretrain_Canonical_CV|2026-08-14T10:05:54|2026-08-14T10:19:21|COMPLETED|807|20|191654
956139|build_cnn_composite_pretrain_report|2026-08-14T10:27:00|2026-08-14T10:27:11|COMPLETED|11|20|2714
