JobID|JobName|State|ElapsedRaw|AllocCPUS|ReqTRES|AllocTRES
916521|nofreeze|COMPLETED|12|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=4888,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
916829|nofreeze|COMPLETED|12|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=4594,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
917726|build_cnn_seasonal_report|COMPLETED|12|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=3011,gres/gpu=1,mem=40000M,node=1
919214|crossval_africa|COMPLETED|26|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=5315,mem=160000M,node=1
919745|crossval_africa|COMPLETED|29|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=5774,mem=160000M,node=1
920221|Africa_Composite_Canonical_CV-0|COMPLETED|73|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=16952,gres/gpu=1,mem=40000M,node=1
920272|Madagascar_Composite_Canonical_CV-0|CANCELLED by 304540|823|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=252981,gres/gpu=1,mem=40000M,node=1
921561|Africa_Seasonal_Canonical_CV-0|COMPLETED|90|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=19825,gres/gpu=1,mem=40000M,node=1
921888|Madagascar_Composite_Canonical_CV-0|COMPLETED|240|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=73322,gres/gpu=1,mem=40000M,node=1
922583|create_shards|COMPLETED|6|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=1852,gres/gpu=1,mem=40000M,node=1
923242|create_shards|COMPLETED|8|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=2163,gres/gpu=1,mem=40000M,node=1
923372|create_shards|COMPLETED|8|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=2587,gres/gpu=1,mem=40000M,node=1
923417|create_shards|COMPLETED|4|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=1326,gres/gpu=1,mem=40000M,node=1
949681|Madagascar_Composite_Canonical_CV-0|COMPLETED|1376|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=363279,gres/gpu=1,mem=40000M,node=1
950250|crossval_africa|COMPLETED|26|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=5262,mem=160000M,node=1
950432|crossval_africa|COMPLETED|607|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=231711,mem=160000M,node=1
951527|crossval_africa|COMPLETED|1268|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=486009,mem=160000M,node=1
951835|build_cnn_composite_report|COMPLETED|15|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=2643,gres/gpu=1,mem=40000M,node=1
953644|Madagascar_Composite_Pretrain_Canonical_CV|COMPLETED|807|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=191654,gres/gpu=1,mem=40000M,node=1
956139|build_cnn_composite_pretrain_report|COMPLETED|11|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=2714,gres/gpu=1,mem=40000M,node=1
